tempo,quantidadePAs,articulation_points_percentage,betweenness,degree,closeness,eigenvector,lifespan,mobility,fragmentationImpact,k_connectivity,density,number_of_cars
0,123,0,0,0,0,0,0,0,0,0,1.818,321
1,123,0,0,0,0,0,0,0,0,0,4.094,321
2,123,3.846,0.003333,2,0.08,5.892e-06,1,0,1,0,5.538,321
3,123,0,0,0,0,0,0,0,0,0,6.404,321
4,41,3.226,0.02759,3.333,0.1489,0.3637,1,0,1,0,3.441,321
5,123,0,0,0,0,0,0,0,0,0,7.977,321
6,123,3.448,0.002646,2,0.07143,4.323e-05,1,0,1,0,2.956,321
7,123,0,0,0,0,0,0,0,0,0,3.385,321
8,123,0,0,0,0,0,0,0,0,0,0.6667,321
9,123,4.167,0.02372,3,0.1937,0.2106,1,0,1,0,6.522,321
10,61.5,3.571,0.002849,2,0.07407,0.5,1,0,1,0,2.116,321
11,123,0,0,0,0,0,0,0,0,0,12,321
12,41,3.333,0.02791,3,0.1332,0.07875,1,0,1,0,5.057,321
13,61.5,3.846,0.02167,4.5,0.1929,0.5001,1,0,1,0,3.077,321
14,30.75,4.348,0.02922,2.5,0.1414,0.3915,1,0,1,0,4.348,321
15,61.5,3.571,0.0812,3,0.2141,0.078,1,0,1,0,8.995,321
16,123,0,0,0,0,0,0,0,0,0,5.698,321
17,123,3.704,0.003077,2,0.07692,3.959e-05,1,0,1,0,2.279,321
18,41,3.846,0.005556,2,0.08667,3.269e-05,1,0,1,0,3.385,321
19,30.75,4,0.0779,3,0.1794,0.1427,1.25,24.51,1,0,6,321
20,61.5,4.762,0.01053,2.5,0.125,0.3536,1,0,1.5,0,3.333,321
21,30.75,4.167,0.04545,3.25,0.1782,0.1453,1,0,1,0,7.971,321
22,123,0,0,0,0,0,0,0,0,0,8.466,321
23,41,3.125,0.007168,3,0.1061,0.1745,1,0,1,0,3.226,321
24,41,3.846,0.005556,2,0.08667,0.401,1,0,1,0,2.462,321
25,61.5,3.448,0.006614,3,0.1071,0.3077,1,0,1,0,2.956,321
26,123,0,0,0,0,0,0,0,0,0,2,321
27,41,3.125,0.02437,3,0.1376,0.1898,1,0,1,0,4.637,321
28,123,3.704,0.006154,3,0.1154,0.6116,1,0,1,0,3.419,321
29,30.75,3.704,0.004615,2,0.08173,0.3008,1,0,1,0,2.849,321
30,123,0,0,0,0,0,0,0,0,0,7,321
31,30.75,3.704,0.008462,2.5,0.1064,0.1187,1,0,1,0,4.274,321
32,61.5,3.571,0.01425,3.5,0.1323,0.2172,1,0,1.5,0,3.968,321
33,123,0,0,0,0,0,0,0,0,0,2.154,321
34,123,0,0,0,0,0,0,0,0,0,9.524,321
35,41,3.571,0.008547,2.667,0.1019,0.2978,1,0,1,0,3.439,321
36,123,3.704,0.003077,2,0.07692,0.7071,1,0,1,0,1.14,321
37,61.5,4,0.04167,5,0.2359,0.4217,1,0,1,0,5.333,321
38,123,3.846,0.003333,2,0.08,4.711e-06,1,0,1,0,4.308,321
39,123,0,0,0,0,0,0,0,0,0,4.762,321
40,61.5,3.571,0.008547,3,0.1204,0.1724,1,0,1,0,5.82,321
41,41,3.846,0.008889,2.667,0.1156,0.1381,1.333,109.5,1,0,4.308,321
42,123,3.333,0.002463,2,0.06897,4.238e-08,1,0,1,0,4.368,321
43,61.5,3.448,0.005291,2,0.08036,8.253e-07,1,0,1,0,5.665,321
44,123,0,0,0,0,0,0,0,0,0,7.957,321
45,123,3.125,0.004301,3,0.09677,2.621e-05,1,0,1,0,3.226,321
46,61.5,2.941,0.02652,4.5,0.149,0.3814,1,0,1,0,3.743,321
47,61.5,3.571,0.08974,4.5,0.2365,0.2472,1,0,1.5,0,7.407,321
48,30.75,3.03,0.0121,2.75,0.1079,0.06328,1.25,60.58,1,0,5.492,321
49,123,0,0,0,0,0,0,0,0,0,6.508,321
50,123,3.333,0.002463,2,0.06897,4.323e-05,1,0,1,0,2.299,321
51,61.5,3.571,0.01852,3,0.1323,0.5007,1,0,1.5,0,2.91,321
52,123,0,0,0,0,0,0,0,0,0,6.333,321
53,123,3.448,0.002646,2,0.07143,4.096e-07,1,0,1,0,6.158,321
54,123,3.846,0.02667,4,0.18,0.3777,1,0,1,0,6.154,321
55,61.5,3.333,0.003695,2.5,0.08621,0.3058,1,0,1,0,2.759,321
56,123,3.226,0.002299,2,0.06667,7.998e-06,1,0,1,0,3.441,321
57,123,2.941,0.01105,4,0.1364,0.4347,1,0,1,0,2.317,321
58,41,3.125,0.03297,2.667,0.1361,0.1189,1,0,1,0,4.435,321
59,123,3.333,0.002463,2,0.06897,0.7071,1,0,1,0,1.839,321
