tempo,quantidadePAs,betweenness,degree,closeness,eigenvector,lifespan,mobility,fragmentationImpact,kConnectivity,density,number_of_cars
0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,2,0.0280,4.5000,0.1731,0.3261,1.0000,0.0000,20.0000,2.0000,2.2177,16.0000
6,2,0.0285,5.5000,0.2324,0.3139,1.0000,0.0000,16.0000,1.0000,3.5714,14.0000
7,2,0.0026,2.0000,0.0714,0.0000,1.0000,0.0000,19.0000,1.0000,1.6010,14.5000
8,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,2,0.0026,2.0000,0.0714,0.5000,1.0000,0.0000,21.0000,1.0000,1.1084,14.5000
12,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,2,0.0437,4.0000,0.1683,0.1623,1.0000,0.0000,21.5000,1.0000,2.1505,15.5000
14,2,0.0200,3.5000,0.1399,0.4405,1.0000,0.0000,21.0000,1.5000,1.4245,13.5000
15,2,0.0198,2.5000,0.1380,0.3440,1.0000,0.0000,16.0000,1.5000,1.9928,12.0000
16,3,0.0855,4.0000,0.2232,0.1415,1.0000,0.0000,16.0000,2.3333,2.9557,9.6667
17,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,1,0.0031,2.0000,0.0769,0.0000,1.0000,0.0000,21.0000,1.0000,2.2792,27.0000
19,3,0.0031,2.0000,0.0769,0.0000,1.0000,0.0000,17.0000,1.0000,1.1396,9.0000
20,3,0.0689,3.3333,0.1849,0.2163,1.0000,0.0000,16.0000,2.0000,1.7436,8.6667
21,3,0.0048,2.0000,0.0952,0.4082,1.0000,0.0000,15.0000,1.0000,1.1544,7.3333
22,3,0.0423,3.3333,0.1843,0.2240,1.3333,121.2259,14.0000,1.6667,2.3333,8.3333
23,1,0.0582,4.0000,0.2156,0.1223,1.0000,0.0000,15.0000,2.0000,7.8818,29.0000
24,2,0.0071,3.0000,0.1058,0.1655,1.0000,0.0000,21.0000,1.0000,1.7992,16.5000
25,4,0.0131,2.2500,0.1070,0.3790,1.0000,0.0000,19.2500,1.0000,0.6410,6.7500
26,2,0.0066,3.0000,0.1071,0.3077,1.5000,114.4750,21.0000,1.5000,1.4778,14.5000
27,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,5,0.0527,3.0000,0.1333,0.1204,1.0000,0.0000,18.0000,2.0000,0.9470,6.6000
29,1,0.0057,3.0000,0.1111,0.6116,1.0000,0.0000,19.0000,1.0000,3.1746,28.0000
30,3,0.0047,2.0000,0.0802,0.0000,1.0000,0.0000,19.0000,1.0000,0.9700,9.3333
31,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32,1,0.0114,3.0000,0.1323,0.3834,1.0000,0.0000,18.0000,1.0000,3.9683,28.0000
33,2,0.0142,3.5000,0.1323,0.2172,1.0000,0.0000,20.5000,1.0000,1.8519,14.0000
34,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
35,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
36,2,0.0066,3.0000,0.1101,0.2310,1.0000,0.0000,19.0000,1.0000,1.8473,14.5000
37,1,0.0031,2.0000,0.0769,0.7071,1.0000,0.0000,23.0000,1.0000,1.4245,27.0000
38,2,0.0417,5.0000,0.2359,0.4217,1.0000,0.0000,17.0000,2.0000,2.6667,12.5000
39,1,0.0031,2.0000,0.0769,0.0000,1.0000,0.0000,20.0000,1.0000,3.9886,27.0000
40,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
41,1,0.0114,4.0000,0.1543,0.4619,1.0000,0.0000,19.0000,1.0000,4.4974,28.0000
42,1,0.0164,5.0000,0.1978,0.4615,1.0000,0.0000,18.0000,1.0000,4.5584,27.0000
43,1,0.0023,2.0000,0.0667,0.0000,1.0000,0.0000,20.0000,1.0000,4.3011,31.0000
44,2,0.0049,2.0000,0.0776,0.0000,1.0000,0.0000,19.0000,1.0000,2.6437,15.0000
45,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
46,1,0.0060,4.0000,0.1250,0.5236,1.0000,0.0000,24.0000,1.0000,2.8409,33.0000
47,2,0.0265,4.5000,0.1490,0.3814,1.0000,0.0000,23.0000,2.5000,1.8717,17.0000
48,2,0.0648,4.0000,0.2042,0.2402,1.0000,0.0000,16.0000,4.0000,3.3251,14.5000
49,5,0.0163,3.6000,0.1199,0.1661,1.2000,51.3471,19.0000,1.6000,0.9626,6.8000
50,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
51,1,0.0046,3.0000,0.1000,0.6116,1.0000,0.0000,23.0000,1.0000,2.7957,31.0000
52,2,0.0093,2.5000,0.1048,0.4731,1.0000,0.0000,19.0000,1.5000,1.4778,14.5000
53,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
54,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
55,2,0.0200,3.0000,0.1495,0.0001,1.0000,0.0000,16.0000,1.5000,2.9915,13.5000
56,1,0.0023,2.0000,0.0667,0.0000,1.0000,0.0000,24.0000,1.0000,2.1505,31.0000
57,2,0.0129,3.5000,0.1377,0.3506,1.0000,0.0000,21.0000,1.0000,1.7137,16.0000
58,3,0.0107,3.0000,0.1029,0.2536,1.0000,0.0000,25.0000,2.0000,0.8403,11.6667
59,5,0.0226,2.6000,0.1114,0.1120,1.0000,0.0000,22.0000,1.4000,0.7955,6.6000
60,2,0.0046,2.0000,0.0750,0.6015,1.0000,0.0000,22.0000,1.0000,1.0753,15.5000
61,4,0.0547,3.2500,0.1613,0.1737,1.0000,0.0000,19.0000,2.0000,1.1700,7.2500
62,2,0.0212,3.0000,0.1500,0.2171,1.0000,0.0000,19.0000,1.5000,2.2167,14.5000
63,3,0.0263,3.0000,0.1290,0.0768,1.0000,0.0000,13.0000,1.6667,2.5287,10.0000
64,1,0.0423,5.0000,0.2078,0.4527,1.0000,0.0000,16.0000,3.0000,5.6650,29.0000
65,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
66,2,0.0107,4.0000,0.1512,0.2619,1.0000,0.0000,19.0000,1.0000,2.1164,14.0000
67,2,0.0419,4.0000,0.1733,0.1823,1.0000,0.0000,18.0000,2.5000,2.8736,15.0000
68,2,0.0115,2.5000,0.1058,0.0000,1.5000,264.6311,15.0000,1.5000,3.5484,15.5000
69,4,0.0282,3.5000,0.1415,0.0937,1.0000,0.0000,17.0000,2.2500,1.7519,8.2500
70,3,0.0177,3.0000,0.1442,0.0476,1.0000,0.0000,18.0000,1.0000,2.1505,10.6667
71,1,0.0025,2.0000,0.0690,0.0000,1.0000,0.0000,24.0000,1.0000,2.5287,30.0000
72,2,0.0228,3.5000,0.1706,0.2710,1.0000,0.0000,19.0000,1.5000,2.2487,14.0000
73,3,0.0088,2.0000,0.1083,0.4010,1.3333,48.8939,15.0000,1.0000,1.1111,7.0000
74,1,0.0058,2.0000,0.1053,0.7071,1.0000,0.0000,17.0000,1.0000,2.1053,20.0000
75,2,0.0048,2.0000,0.0952,0.5000,1.0000,0.0000,16.0000,1.0000,1.5152,11.0000
76,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
77,1,0.0222,4.0000,0.1552,0.5164,1.0000,0.0000,19.0000,3.0000,4.1379,30.0000
78,1,0.0023,2.0000,0.0667,0.0000,1.0000,0.0000,17.0000,1.0000,7.7419,31.0000
79,2,0.0066,3.5000,0.1128,0.1700,1.0000,0.0000,20.0000,1.0000,2.4064,17.0000
80,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
81,1,0.0369,6.0000,0.2462,0.3141,1.0000,0.0000,16.0000,2.0000,7.6923,27.0000
82,2,0.0022,2.0000,0.0645,0.0000,1.0000,0.0000,19.0000,1.0000,3.0242,16.0000
83,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
84,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
85,1,0.0466,6.0000,0.2250,0.4253,1.0000,0.0000,19.0000,4.0000,5.8065,31.0000
86,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
87,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
88,2,0.0291,4.0000,0.1562,0.2020,1.0000,0.0000,17.0000,1.5000,2.8325,14.5000
89,2,0.0152,4.5000,0.1399,0.1707,1.0000,0.0000,19.0000,1.5000,2.9412,17.0000
90,3,0.0443,4.0000,0.1736,0.1110,1.0000,0.0000,22.0000,2.3333,2.2222,12.0000
91,3,0.0246,3.6667,0.1332,0.2560,1.0000,0.0000,22.0000,1.6667,1.1884,11.3333
92,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
93,5,0.0313,2.6000,0.1339,0.2996,1.0000,0.0000,18.0000,1.6000,0.6878,5.6000
94,1,0.0031,2.0000,0.0769,0.0000,1.0000,0.0000,21.0000,1.0000,2.5641,27.0000
95,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
96,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
97,1,0.0228,4.0000,0.2143,0.1609,1.0000,0.0000,20.0000,1.0000,7.9365,28.0000
98,4,0.0691,3.2500,0.1942,0.0874,1.0000,0.0000,15.2500,1.5000,2.1825,7.0000
99,1,0.0159,3.0000,0.1591,0.1776,1.0000,0.0000,19.0000,1.0000,5.1724,29.0000
100,2,0.0067,3.0000,0.1200,0.4325,1.0000,0.0000,20.0000,1.0000,1.3846,13.0000
101,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
102,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
103,2,0.0271,3.5000,0.1498,0.2799,1.0000,0.0000,17.0000,1.5000,2.5287,15.0000
104,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
105,2,0.0132,2.5000,0.1134,0.0000,1.0000,0.0000,19.0000,1.5000,2.2167,14.5000
106,3,0.0194,3.0000,0.1333,0.0567,1.0000,0.0000,14.0000,1.3333,3.0378,9.6667
107,1,0.0025,2.0000,0.0690,0.7071,1.0000,0.0000,24.0000,1.0000,1.6092,30.0000
108,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
109,1,0.0028,2.0000,0.0741,0.0000,1.0000,0.0000,15.0000,1.0000,9.7884,28.0000
110,2,0.0119,4.0000,0.1429,0.2419,1.0000,0.0000,17.0000,1.5000,2.8325,14.5000
