time,betweenness,degree,closeness,eigenvector,lifespan,mobility,fragmentation_impact,number_of_articulation_points,articulation_points_percentage,density,number_of_cars
114,0,0,0,0,0,0,0,0,0,0.4324,160
115,0,0,0,0,0,0,0,0,0,0.4385,150
116,0,0,0,0,0,0,0,0,0,0.4193,147
117,0,0,0,0,0,0,0,0,0,0.3821,159
118,0,0,0,0,0,0,0,0,0,0.4053,156
119,0,0,0,0,0,0,0,0,0,0.377,155
120,0,0,0,0,0,0,0,0,0,0.4488,172
121,0,0,0,0,0,0,0,0,0,0.4675,182
122,0,0,0,0,0,0,0,0,0,0.4315,207
123,4.601e-05,2,0.009569,1.11e-26,1,0,1,1,0.4762,0.4147,210
124,0,0,0,0,0,0,0,0,0,0.4604,211
125,0,0,0,0,0,0,0,0,0,0.5206,217
126,0,0,0,0,0,0,0,0,0,0.4566,222
127,0,0,0,0,0,0,0,0,0,0.4478,232
128,0,0,0,0,0,0,0,0,0,0.4484,225
129,0,0,0,0,0,0,0,0,0,0.4321,222
130,0,0,0,0,0,0,0,0,0,0.4729,222
131,4.601e-05,2,0.009569,5.865e-14,1,0,1,1,0.4762,0.4557,210
132,4.557e-05,2,0.009524,9.115e-22,2,88.36,1,1,0.4739,0.5552,211
133,0,0,0,0,0,0,0,0,0,0.5865,219
134,0,0,0,0,0,0,0,0,0,0.5211,216
135,0,0,0,0,0,0,0,0,0,0.5,225
136,0,0,0,0,0,0,0,0,0,0.4244,224
137,0,0,0,0,0,0,0,0,0,0.624,238
138,0,0,0,0,0,0,0,0,0,0.4512,234
139,0,0,0,0,0,0,0,0,0,0.53,240
140,3.546e-05,2,0.008403,5.876e-36,1,0,1,1,0.4184,0.6012,239
141,0,0,0,0,0,0,0,0,0,0.5036,251
142,0,0,0,0,0,0,0,0,0,0.6287,254
143,0,0,0,0,0,0,0,0,0,0.5579,240
144,0,0,0,0,0,0,0,0,0,0.5746,235
145,0,0,0,0,0,0,0,0,0,0.4889,232
146,0,0,0,0,0,0,0,0,0,0.4985,228
147,0,0,0,0,0,0,0,0,0,0.459,232
148,0,0,0,0,0,0,0,0,0,0.5055,235
149,0,0,0,0,0,0,0,0,0,0.3877,243
150,0,0,0,0,0,0,0,0,0,0.4833,261
151,0,0,0,0,0,0,0,0,0,0.5427,272
152,0,0,0,0,0,0,0,0,0,0.5239,256
153,0,0,0,0,0,0,0,0,0,0.5579,240
154,0,0,0,0,0,0,0,0,0,0.4948,250
155,0,0,0,0,0,0,0,0,0,0.389,212
156,0,0,0,0,0,0,0,0,0,0.4694,210
157,0,0,0,0,0,0,0,0,0,0.4417,209
158,0,0,0,0,0,0,0,0,0,0.5025,198
159,0,0,0,0,0,0,0,0,0,0.4969,209
160,0,0,0,0,0,0,0,0,0,0.5659,209
161,0,0,0,0,0,0,0,0,0,0.7572,208
162,0,0,0,0,0,0,0,0,0,0.7121,203
163,0,0,0,0,0,0,0,0,0,0.5969,210
164,0,0,0,0,0,0,0,0,0,0.6294,221
165,0,0,0,0,0,0,0,0,0,0.5635,225
