time, betweenness, degree, closeness, eigenvector, lifespan, mobility, fragmentation_impact, len_articulation_points, articulation_points_percentage, density, number_of_cars
  64, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            170
  65, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            168
  66, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            173
  67, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            175
  68, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            183
  69, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            186
  70, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            178
  71, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            183
  72, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            178
  73, 0.0001214  ,      3,  0.01648 , 0.0003895  ,        2,        0,                    1,                       1,                         0.5464,  0.2882,            183
  74, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            180
  75, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            180
  76, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            182
  77, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            179
  78, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            175
  79, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            169
  80, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            165
  81, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            172
  82, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            176
  83, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            172
  84, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            168
  85, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            169
