time, betweenness, degree, closeness, eigenvector, lifespan, mobility, fragmentation_impact, len_articulation_points, articulation_points_percentage, density, number_of_cars
   0, 0.002646   ,  2    ,   0.07143, 0.7071     ,    2    ,        0,                1    ,                       1,                         3.448 ,  0.9852,             29
   1, 0          ,  0    ,   0      , 0          ,    0    ,        0,                0    ,                       0,                         0     ,  0     ,             40
   2, 0          ,  0    ,   0      , 0          ,    0    ,        0,                0    ,                       0,                         0     ,  0     ,             49
   3, 0          ,  0    ,   0      , 0          ,    0    ,        0,                0    ,                       0,                         0     ,  0     ,             72
   4, 0.0003011  ,  2    ,   0.02439, 0.7071     ,    2    ,        0,                1    ,                       1,                         1.205 ,  0.2645,             83
   5, 0.0002497  ,  2    ,   0.02222, 1.593e-07  ,    2    ,        0,                1    ,                       1,                         1.099 ,  0.4884,             91
   6, 0          ,  0    ,   0      , 0          ,    0    ,        0,                0    ,                       0,                         0     ,  0     ,             97
   7, 0.0002695  ,  2.5  ,   0.02358, 0.3058     ,    2    ,        0,                1    ,                       2,                         1.869 ,  0.3879,            107
   8, 0.0001763  ,  2    ,   0.01869, 2.475e-05  ,    2    ,        0,                1    ,                       3,                         2.778 ,  0.2942,            108
   9, 0.0001526  ,  2    ,   0.01739, 9.441e-05  ,    2    ,        0,                1    ,                       2,                         1.724 ,  0.2849,            116
  10, 0.0001474  ,  2    ,   0.01709, 0.7071     ,    2    ,        0,                1    ,                       1,                         0.8475,  0.2463,            118
  11, 0          ,  0    ,   0      , 0          ,    0    ,        0,                0    ,                       0,                         0     ,  0     ,            112
  12, 0          ,  0    ,   0      , 0          ,    0    ,        0,                0    ,                       0,                         0     ,  0     ,            113
  13, 0.0001904  ,  2    ,   0.01942, 0.7071     ,    2    ,        0,                1    ,                       1,                         0.9615,  0.2427,            104
  14, 0.0004587  ,  2    ,   0.021  , 0.0001895  ,    2    ,        0,                1    ,                       4,                         3.604 ,  0.3276,            111
  15, 0.0001499  ,  2    ,   0.01724, 2.192e-09  ,    4    ,        0,                1    ,                       1,                         0.8547,  0.3537,            117
  16, 0          ,  0    ,   0      , 0          ,    0    ,        0,                0    ,                       0,                         0     ,  0     ,            121
  17, 0.0001449  ,  2    ,   0.01695, 8.296e-05  ,    2    ,        0,                1    ,                       2,                         1.681 ,  0.3133,            119
  18, 0.0002801  ,  2.333,   0.02083, 0.204      ,    2    ,        0,                1    ,                       3,                         2.479 ,  0.2066,            121
  19, 0.0001668  ,  2    ,   0.01818, 0.0001812  ,    2    ,        0,                1    ,                       1,                         0.9009,  0.2457,            111
  20, 0.0001449  ,  2    ,   0.01695, 0.0001812  ,    2    ,        0,                1    ,                       1,                         0.8403,  0.1994,            119
  21, 0          ,  0    ,   0      , 0          ,    0    ,        0,                0    ,                       0,                         0     ,  0     ,            117
  22, 0.0007677  ,  2.333,   0.02656, 0.1178     ,    2    ,        0,                1    ,                       3,                         2.439 ,  0.3732,            123
  23, 0.0002801  ,  3    ,   0.025  , 0.4325     ,    2    ,        0,                1    ,                       2,                         1.653 ,  0.303 ,            121
  24, 0.0001907  ,  2    ,   0.01793, 6.016e-05  ,    2.5  ,        0,                1    ,                       4,                         3.448 ,  0.3598,            116
  25, 0.0004498  ,  2.667,   0.02548, 0.3163     ,    2    ,        0,                1    ,                       3,                         2.564 ,  0.3684,            117
  26, 0.000278   ,  2.667,   0.02424, 0.1745     ,    2    ,        0,                1    ,                       3,                         2.703 ,  0.344 ,            111
  27, 0.0003161  ,  3    ,   0.02655, 0.2618     ,    2    ,        0,                1    ,                       2,                         1.754 ,  0.4192,            114
  28, 0.0001474  ,  2    ,   0.01709, 0.0001812  ,    2    ,        0,                1    ,                       1,                         0.8475,  0.2463,            118
  29, 0.000271   ,  3    ,   0.02459, 2.295e-05  ,    2    ,        0,                1    ,                       1,                         0.813 ,  0.4665,            123
  30, 0.000125   ,  2    ,   0.01575, 0.5        ,    2    ,        0,                1    ,                       2,                         1.562 ,  0.2584,            128
  31, 0.0001311  ,  2    ,   0.01613, 0.0002007  ,    2    ,        0,                1    ,                       1,                         0.8   ,  0.2452,            125
  32, 0          ,  0    ,   0      , 0          ,    0    ,        0,                0    ,                       0,                         0     ,  0     ,            119
