time,betweenness,degree,closeness,eigenvector,lifespan,mobility,fragmentation_impact,number_of_articulation_points,articulation_points_percentage,density,number_of_cars
0,0,0,0,0,0,0,0,0,0,1.818,11
1,0,0,0,0,0,0,0,0,0,4.094,19
2,0.003333,2,0.08,5.892e-06,1,0,1,1,3.846,5.538,26
3,0,0,0,0,0,0,0,0,0,6.404,29
4,0.02759,3.333,0.1489,0.3637,1,0,1,3,9.677,3.441,31
5,0,0,0,0,0,0,0,0,0,7.977,27
6,0.002646,2,0.07143,4.323e-05,1,0,1,1,3.448,2.956,29
7,0,0,0,0,0,0,0,0,0,3.385,26
8,0,0,0,0,0,0,0,0,0,0.6667,25
9,0.02372,3,0.1937,0.2106,1,0,1,1,4.167,6.522,24
10,0.002849,2,0.07407,0.5,1,0,1,2,7.143,2.116,28
11,0,0,0,0,0,0,0,0,0,12,26
12,0.02791,3,0.1332,0.07875,1,0,1,3,10,5.057,30
13,0.02167,4.5,0.1929,0.5001,1,0,1,2,7.692,3.077,26
14,0.02922,2.5,0.1414,0.3915,1,0,1,4,17.39,4.348,23
15,0.0812,3,0.2141,0.078,1,0,1,2,7.143,8.995,28
16,0,0,0,0,0,0,0,0,0,5.698,27
17,0.003077,2,0.07692,3.959e-05,1,0,1,1,3.704,2.279,27
18,0.005556,2,0.08667,3.269e-05,1,0,1,3,11.54,3.385,26
19,0.0779,3,0.1794,0.1427,1.25,0.0002297,1,4,16,6,25
20,0.01053,2.5,0.125,0.3536,1,0,1.5,2,9.524,3.333,21
21,0.04545,3.25,0.1782,0.1453,1,0,1,4,16.67,7.971,24
22,0,0,0,0,0,0,0,0,0,8.466,28
23,0.007168,3,0.1061,0.1745,1,0,1,3,9.375,3.226,32
24,0.005556,2,0.08667,0.401,1,0,1,3,11.54,2.462,26
25,0.006614,3,0.1071,0.3077,1,0,1,2,6.897,2.956,29
26,0,0,0,0,0,0,0,0,0,2,25
27,0.02437,3,0.1376,0.1898,1,0,1,3,9.375,4.637,32
28,0.006154,3,0.1154,0.6116,1,0,1,1,3.704,3.419,27
29,0.004615,2,0.08173,0.3008,1,0,1,4,14.81,2.849,27
30,0,0,0,0,0,0,0,0,0,7,25
31,0.008462,2.5,0.1064,0.1187,1,0,1,4,14.81,4.274,27
32,0.01425,3.5,0.1323,0.2172,1,0,1.5,2,7.143,3.968,28
33,0,0,0,0,0,0,0,0,0,2.154,26
34,0,0,0,0,0,0,0,0,0,9.524,22
35,0.008547,2.667,0.1019,0.2978,1,0,1,3,10.71,3.439,28
36,0.003077,2,0.07692,0.7071,1,0,1,1,3.704,1.14,27
37,0.04167,5,0.2359,0.4217,1,0,1,2,8,5.333,25
38,0.003333,2,0.08,4.711e-06,1,0,1,1,3.846,4.308,26
39,0,0,0,0,0,0,0,0,0,4.762,22
40,0.008547,3,0.1204,0.1724,1,0,1,2,7.143,5.82,28
41,0.008889,2.667,0.1156,0.1381,1.333,0.001046,1,3,11.54,4.308,26
42,0.002463,2,0.06897,4.238e-08,1,0,1,1,3.333,4.368,30
43,0.005291,2,0.08036,8.253e-07,1,0,1,2,6.897,5.665,29
44,0,0,0,0,0,0,0,0,0,7.957,31
45,0.004301,3,0.09677,2.621e-05,1,0,1,1,3.125,3.226,32
46,0.02652,4.5,0.149,0.3814,1,0,1,2,5.882,3.743,34
47,0.08974,4.5,0.2365,0.2472,1,0,1.5,2,7.143,7.407,28
48,0.0121,2.75,0.1079,0.06328,1.25,0.000561,1,4,12.12,5.492,33
49,0,0,0,0,0,0,0,0,0,6.508,36
50,0.002463,2,0.06897,4.323e-05,1,0,1,1,3.333,2.299,30
51,0.01852,3,0.1323,0.5007,1,0,1.5,2,7.143,2.91,28
52,0,0,0,0,0,0,0,0,0,6.333,25
53,0.002646,2,0.07143,4.096e-07,1,0,1,1,3.448,6.158,29
54,0.02667,4,0.18,0.3777,1,0,1,1,3.846,6.154,26
55,0.003695,2.5,0.08621,0.3058,1,0,1,2,6.667,2.759,30
56,0.002299,2,0.06667,7.998e-06,1,0,1,1,3.226,3.441,31
57,0.01105,4,0.1364,0.4347,1,0,1,1,2.941,2.317,34
58,0.03297,2.667,0.1361,0.1189,1,0,1,3,9.375,4.435,32
59,0.002463,2,0.06897,0.7071,1,0,1,1,3.333,1.839,30
