tempo,quantidadePAs,betweenness,degree,closeness,eigenvector,lifespan,mobility,fragmentationImpact,kConnectivity,density,number_of_cars
0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,4,0.0302,3.7500,0.1590,0.1147,1.0000,0.0000,16.0000,2.2500,1.9540,7.5000
5,3,0.0179,3.3333,0.1389,0.0889,1.3333,218.3216,15.0000,1.0000,2.7554,10.6667
6,2,0.0527,5.5000,0.2606,0.1627,1.0000,0.0000,12.0000,1.5000,6.6138,14.0000
7,9,0.0614,2.3333,0.1177,0.1069,1.2222,76.9637,12.0000,1.6667,0.6294,3.2222
8,1,0.0031,2.0000,0.0769,0.0000,1.0000,0.0000,14.0000,1.0000,5.9829,27.0000
9,5,0.0093,2.0000,0.0939,0.3155,1.0000,0.0000,20.0000,1.2000,0.4308,5.2000
10,4,0.0815,2.7500,0.1957,0.0873,1.0000,0.0000,10.0000,1.7500,2.6667,6.2500
11,6,0.0186,2.5000,0.1223,0.0656,1.3333,206.4206,12.0000,1.5000,1.1494,4.8333
12,1,0.0277,9.0000,0.3497,0.2952,1.0000,0.0000,15.0000,1.0000,13.9601,27.0000
13,1,0.0023,2.0000,0.0667,0.0000,1.0000,0.0000,20.0000,1.0000,7.0968,31.0000
14,2,0.0221,5.0000,0.2051,0.3479,1.0000,0.0000,18.0000,1.0000,2.8490,13.5000
15,2,0.0277,3.0000,0.1688,0.2502,1.0000,0.0000,12.0000,1.0000,3.4420,12.0000
16,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,2,0.0228,4.0000,0.1890,0.2526,1.0000,0.0000,17.0000,1.5000,3.3069,14.0000
18,5,0.0400,2.6000,0.1295,0.3628,1.0000,0.0000,15.0000,1.8000,0.9687,5.4000
19,1,0.0215,4.0000,0.1758,0.2791,1.0000,0.0000,11.0000,1.0000,8.5470,27.0000
20,3,0.0056,2.0000,0.0867,0.0000,1.3333,258.8804,12.0000,1.0000,3.5897,8.6667
21,1,0.0286,5.0000,0.2381,0.5526,1.0000,0.0000,13.0000,2.0000,7.7922,22.0000
22,3,0.0942,4.6667,0.2705,0.1533,1.0000,0.0000,9.0000,2.0000,4.0000,8.3333
23,2,0.0185,3.5000,0.1703,0.0599,1.0000,0.0000,12.0000,1.0000,6.7734,14.5000
24,1,0.0020,2.0000,0.0625,0.0000,2.0000,709.6566,16.0000,1.0000,5.8712,33.0000
25,2,0.0169,4.5000,0.1731,0.2789,1.0000,0.0000,16.0000,2.0000,2.7066,13.5000
26,1,0.0265,4.0000,0.1750,0.2533,1.0000,0.0000,17.0000,2.0000,5.6650,29.0000
27,3,0.0378,3.3333,0.1828,0.2444,1.0000,0.0000,14.0000,1.3333,1.9487,8.6667
28,1,0.0806,5.0000,0.2356,0.0886,1.0000,0.0000,15.0000,3.0000,7.9545,33.0000
29,3,0.0627,4.0000,0.1710,0.3252,1.3333,118.7194,12.0000,2.3333,2.3810,9.3333
30,5,0.0063,2.4000,0.0953,0.0000,1.2000,38.0640,14.0000,1.2000,1.0053,5.6000
31,1,0.0233,8.0000,0.3200,0.3587,1.0000,0.0000,15.0000,1.0000,10.1538,26.0000
32,7,0.1775,2.5714,0.1851,0.0349,1.1429,40.5728,9.2857,1.5714,1.4361,4.0000
33,3,0.0610,5.0000,0.2158,0.2543,1.3333,132.4251,16.3333,2.0000,2.2928,9.3333
34,4,0.0092,2.0000,0.0924,0.0000,1.2500,131.1030,17.0000,1.2500,0.8462,6.5000
35,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
36,7,0.0283,3.0000,0.1351,0.2064,1.0000,0.0000,14.1429,1.5714,0.7389,4.1429
37,3,0.0113,2.6667,0.1162,0.1583,1.3333,120.6937,18.3333,1.0000,1.1396,9.0000
38,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39,3,0.0082,2.3333,0.1009,0.0000,1.0000,0.0000,16.0000,1.3333,1.8044,9.0000
40,3,0.0231,2.3333,0.1326,0.0000,1.0000,0.0000,15.0000,1.6667,1.7128,7.6667
41,3,0.0665,5.6667,0.2582,0.3141,1.0000,0.0000,14.0000,2.3333,2.6455,9.3333
42,3,0.0474,4.0000,0.1926,0.1564,1.0000,0.0000,13.0000,2.6667,2.8490,9.0000
43,3,0.0322,4.0000,0.1516,0.1248,1.3333,229.3567,14.0000,2.3333,2.5090,10.3333
44,1,0.0049,3.0000,0.1034,0.0000,1.0000,0.0000,16.0000,1.0000,8.2759,30.0000
45,1,0.0022,2.0000,0.0645,0.0000,1.0000,0.0000,16.0000,1.0000,10.0806,32.0000
46,5,0.0097,2.8000,0.0968,0.1847,1.0000,0.0000,17.0000,1.2000,0.9470,6.6000
47,3,0.0095,2.6667,0.1061,0.0566,1.3333,208.2463,18.0000,1.0000,2.1985,11.3333
48,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
49,2,0.0279,4.5000,0.1716,0.0000,1.0000,0.0000,16.0000,2.0000,4.0998,17.0000
50,4,0.0028,2.2500,0.0660,0.0000,1.0000,0.0000,12.0000,1.0000,2.7402,9.2500
51,7,0.0609,3.0000,0.1388,0.0000,1.0000,0.0000,14.1429,1.8571,0.7373,4.4286
52,7,0.0116,2.8571,0.1179,0.1582,1.2857,220.7987,15.0000,1.1429,0.7037,4.1429
53,1,0.0267,4.0000,0.2314,0.1935,1.0000,0.0000,16.0000,1.0000,8.9231,26.0000
54,3,0.0353,3.6667,0.1731,0.0992,1.0000,0.0000,14.0000,2.0000,3.1418,10.0000
55,1,0.0031,2.0000,0.0769,0.0000,1.0000,0.0000,15.0000,1.0000,9.1168,27.0000
56,4,0.0368,4.2500,0.1852,0.3525,1.2500,168.5474,18.0000,2.0000,1.1290,7.7500
57,3,0.0446,4.0000,0.1682,0.2125,1.6667,406.6224,17.0000,2.3333,1.8817,10.6667
58,5,0.0275,3.0000,0.1217,0.1130,1.0000,0.0000,17.2000,1.4000,1.0084,7.0000
59,3,0.0122,3.3333,0.1307,0.0323,1.0000,0.0000,14.3333,1.0000,2.8409,11.0000
60,9,0.0342,2.7778,0.1290,0.2513,1.2222,211.0540,16.0000,1.4444,0.4540,3.4444
61,3,0.0564,5.0000,0.2160,0.1894,1.0000,0.0000,15.0000,2.0000,2.8736,9.6667
62,2,0.0529,2.5000,0.1566,0.0065,1.5000,365.8301,14.0000,1.5000,5.0493,14.5000
63,3,0.0665,3.6667,0.1985,0.0834,1.0000,0.0000,11.0000,2.3333,4.2146,10.0000
64,4,0.0456,3.2500,0.1673,0.1274,1.0000,0.0000,13.0000,1.5000,2.0320,7.2500
65,3,0.0789,3.3333,0.1905,0.0736,1.0000,0.0000,13.3333,2.0000,3.1491,11.3333
66,2,0.1339,5.0000,0.2721,0.2760,1.0000,0.0000,16.0000,1.0000,3.9683,14.0000
67,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
68,1,0.0230,6.0000,0.2373,0.2446,1.0000,0.0000,13.0000,1.0000,11.6129,31.0000
69,5,0.0560,4.6000,0.2257,0.0983,1.0000,0.0000,12.0000,1.8000,2.1970,6.6000
70,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
71,4,0.0185,3.2500,0.1337,0.1115,1.2500,169.1719,19.0000,1.7500,1.2069,7.5000
72,4,0.0150,2.2500,0.1155,0.0541,1.0000,0.0000,14.0000,1.2500,1.6534,7.0000
73,2,0.0184,3.0000,0.1542,0.2667,1.0000,0.0000,11.0000,1.5000,3.5714,10.5000
74,2,0.0088,2.5000,0.1316,0.3058,1.0000,0.0000,13.0000,1.0000,2.3684,10.0000
75,2,0.0048,2.0000,0.0952,0.0000,1.0000,0.0000,12.0000,1.0000,2.8139,11.0000
76,3,0.0317,2.6667,0.1571,0.2615,1.0000,0.0000,15.0000,1.6667,1.5810,7.6667
77,3,0.0862,3.6667,0.2234,0.0424,1.0000,0.0000,12.0000,1.6667,3.2184,10.0000
78,4,0.0609,5.0000,0.2290,0.0989,1.0000,0.0000,11.0000,1.7500,2.7957,7.7500
79,6,0.0568,5.1667,0.2112,0.1863,1.5000,195.7949,12.1667,2.0000,1.4854,5.6667
80,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
81,1,0.0062,3.0000,0.1154,0.0000,1.0000,0.0000,14.0000,1.0000,11.3960,27.0000
82,4,0.0086,4.0000,0.1360,0.0897,1.2500,133.3906,15.0000,1.2500,2.0665,8.0000
83,3,0.0072,2.6667,0.1077,0.0000,1.0000,0.0000,14.0000,1.0000,2.7540,9.0000
84,1,0.0370,3.0000,0.1786,0.0090,1.0000,0.0000,14.0000,1.0000,11.0837,29.0000
85,2,0.0563,5.5000,0.2543,0.2002,1.0000,0.0000,16.0000,2.5000,4.3011,15.5000
86,2,0.0317,6.0000,0.2766,0.2047,1.5000,103.0623,13.0000,1.0000,6.2808,14.5000
87,4,0.0280,3.0000,0.1392,0.1780,1.0000,0.0000,15.0000,1.7500,1.2644,7.5000
88,1,0.0265,5.0000,0.2401,0.1766,1.0000,0.0000,13.0000,1.0000,12.3153,29.0000
89,1,0.0057,4.0000,0.1212,0.0000,1.0000,0.0000,14.0000,1.0000,10.8734,34.0000
90,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
91,7,0.0565,4.0000,0.1973,0.1588,1.0000,0.0000,15.0000,1.7143,1.0186,4.8571
92,3,0.0265,3.3333,0.1500,0.1323,1.3333,98.2328,14.3333,1.6667,2.5452,9.6667
93,3,0.0437,3.0000,0.1800,0.1128,1.6667,90.0384,17.0000,1.6667,2.3810,9.3333
94,2,0.0177,4.0000,0.1566,0.2818,1.0000,0.0000,17.0000,1.5000,2.2792,13.5000
95,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
96,1,0.0300,6.0000,0.2400,0.5577,1.0000,0.0000,16.0000,3.0000,5.2308,26.0000
97,1,0.0256,5.0000,0.2469,0.1671,1.0000,0.0000,19.0000,1.0000,10.8466,28.0000
98,4,0.0779,5.7500,0.2677,0.1503,1.0000,0.0000,11.0000,2.5000,3.6376,7.0000
99,2,0.0331,4.0000,0.2126,0.1696,1.5000,140.8653,17.0000,1.5000,4.0640,14.5000
100,1,0.0033,2.0000,0.0800,0.0000,1.0000,0.0000,15.0000,1.0000,6.1538,26.0000
101,5,0.0114,2.6000,0.1099,0.1540,1.0000,0.0000,17.0000,1.2000,0.8466,5.6000
102,2,0.0077,3.5000,0.1346,0.2311,1.5000,242.3170,18.0000,1.0000,2.2792,13.5000
103,1,0.0025,2.0000,0.0690,0.0000,1.0000,0.0000,13.0000,1.0000,11.0345,30.0000
104,4,0.0223,2.7500,0.1216,0.2852,1.2500,153.2077,16.0000,1.7500,1.0684,6.7500
105,4,0.0730,2.7500,0.1699,0.0674,1.5000,172.1460,13.0000,1.7500,2.1552,7.2500
106,1,0.0026,2.0000,0.0714,0.0000,1.0000,0.0000,14.0000,1.0000,13.5468,29.0000
107,4,0.0055,2.2500,0.0851,0.2365,1.0000,0.0000,20.0000,1.2500,0.7471,7.5000
