tempo,quantidadePAs,betweenness,degree,closeness,eigenvector,lifespan,mobility,fragmentationImpact,kConnectivity,density,number_of_cars
0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,2,0.0178,3.0000,0.1722,0.0653,1.0000,0.0000,12.0000,1.0000,5.4348,12.0000
4,2,0.0085,3.0000,0.1185,0.0000,1.0000,0.0000,16.0000,1.0000,2.9101,14.0000
5,4,0.0789,2.7500,0.2074,0.3744,1.2500,35.7444,12.2500,2.0000,1.4474,5.0000
6,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,2,0.0152,2.5000,0.1333,0.4731,1.0000,0.0000,16.0000,1.5000,1.7787,11.5000
8,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,2,0.0152,2.5000,0.1333,0.0000,1.0000,0.0000,15.0000,1.5000,3.1621,11.5000
10,1,0.0221,3.0000,0.1882,0.4747,1.0000,0.0000,14.0000,1.0000,4.5752,18.0000
11,2,0.0368,3.0000,0.2145,0.3566,1.0000,0.0000,13.0000,1.5000,2.9412,9.0000
12,2,0.0117,2.0000,0.1184,0.0000,1.0000,0.0000,14.0000,1.0000,2.1053,10.0000
13,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,2,0.0036,2.0000,0.0833,0.5000,1.0000,0.0000,20.0000,1.0000,1.0000,12.5000
15,2,0.0138,3.5000,0.1417,0.2668,1.0000,0.0000,16.0000,1.5000,2.7066,13.5000
16,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,7,0.0221,2.4286,0.1154,0.0368,1.0000,0.0000,17.1429,1.4286,0.7776,4.5714
18,2,0.0128,3.5000,0.1323,0.2230,1.0000,0.0000,14.0000,1.5000,2.9101,14.0000
19,2,0.0067,2.0000,0.0900,0.0000,1.0000,0.0000,15.0000,1.0000,5.0769,13.0000
20,6,0.0272,2.5000,0.1363,0.1307,1.5000,238.3269,13.0000,1.5000,0.9444,4.1667
21,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,1,0.0190,3.0000,0.2000,0.6116,1.0000,0.0000,14.0000,1.0000,3.3333,16.0000
23,4,0.0131,2.0000,0.1100,0.0000,1.0000,0.0000,12.0000,1.2500,1.6234,5.5000
24,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,3,0.0175,2.3333,0.1325,0.2293,1.0000,0.0000,14.0000,1.3333,1.7316,7.3333
30,2,0.0040,2.0000,0.0870,0.0000,1.0000,0.0000,13.0000,1.0000,2.5362,12.0000
31,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32,1,0.0133,4.0000,0.1667,0.4142,1.0000,0.0000,14.0000,1.0000,6.7692,26.0000
33,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34,2,0.0028,2.5000,0.0758,0.0000,1.0000,0.0000,19.0000,1.0000,2.2282,17.0000
35,4,0.0451,4.0000,0.1562,0.1032,1.2500,52.6902,20.0000,2.2500,1.6003,9.5000
36,2,0.0173,3.0000,0.1086,0.0389,1.0000,0.0000,21.0000,1.5000,2.9872,19.0000
37,3,0.0075,4.3333,0.1249,0.1196,1.0000,0.0000,19.3333,1.0000,1.9440,12.6667
38,5,0.0352,3.6000,0.1845,0.1254,1.2000,77.4716,12.0000,1.8000,1.6931,5.6000
39,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
40,3,0.0148,2.6667,0.1103,0.2619,1.0000,0.0000,17.0000,2.0000,1.3793,10.0000
41,2,0.0053,3.5000,0.1050,0.2025,1.0000,0.0000,22.0000,1.0000,2.1008,17.5000
42,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
43,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
44,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
45,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
46,1,0.0079,3.0000,0.1304,0.6116,1.0000,0.0000,18.0000,1.0000,3.2609,24.0000
47,1,0.0048,2.0000,0.0952,0.0000,1.0000,0.0000,16.0000,1.0000,3.4632,22.0000
48,7,0.0156,2.7143,0.1104,0.0644,1.0000,0.0000,19.0000,1.5714,0.8117,4.7143
49,1,0.0025,2.0000,0.0690,0.0000,1.0000,0.0000,18.0000,1.0000,3.9080,30.0000
50,2,0.0040,2.0000,0.0870,0.0000,1.0000,0.0000,16.0000,1.0000,1.8116,12.0000
51,2,0.0236,3.5000,0.1821,0.2922,1.0000,0.0000,16.0000,1.5000,3.0000,12.5000
52,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
53,6,0.0113,2.0000,0.0904,0.0000,1.0000,0.0000,15.0000,1.3333,0.6648,4.5000
54,1,0.0085,4.0000,0.1481,0.0000,2.0000,483.0898,16.0000,1.0000,6.0847,28.0000
55,3,0.0422,5.3333,0.2626,0.2049,1.0000,0.0000,13.0000,1.3333,4.3077,8.6667
56,3,0.0155,3.0000,0.1262,0.0523,1.3333,48.4851,17.0000,1.6667,2.0202,11.0000
57,5,0.0112,2.2000,0.0900,0.1576,1.0000,0.0000,20.0000,1.4000,0.6452,6.4000
58,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
59,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
60,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
61,2,0.0134,3.0000,0.1218,0.2029,1.0000,0.0000,17.0000,1.0000,2.8571,18.0000
62,4,0.0264,3.5000,0.1406,0.0592,1.0000,0.0000,12.0000,2.2500,1.8280,7.7500
63,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
64,3,0.0023,2.0000,0.0667,0.0000,1.0000,0.0000,19.0000,1.0000,1.1470,10.3333
65,1,0.0031,2.0000,0.0769,0.0000,1.0000,0.0000,15.0000,1.0000,5.9829,27.0000
66,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
67,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
68,5,0.0208,3.6000,0.1360,0.1676,1.0000,0.0000,16.2000,2.0000,1.0606,6.6000
69,2,0.0047,3.0000,0.0909,0.0000,1.0000,0.0000,19.0000,1.5000,2.7629,17.0000
70,3,0.0427,2.6667,0.1710,0.0597,1.0000,0.0000,15.0000,1.6667,2.9885,10.0000
71,7,0.0347,3.4286,0.1583,0.0619,1.2857,147.6741,15.1429,1.4286,0.8353,4.5714
72,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
73,2,0.0054,3.0000,0.0995,0.2071,1.0000,0.0000,24.0000,1.0000,1.4113,16.0000
74,1,0.0036,2.0000,0.0833,0.0000,1.0000,0.0000,16.0000,1.0000,5.3333,25.0000
75,2,0.0222,5.5000,0.1931,0.2262,1.0000,0.0000,15.0000,2.0000,3.5632,15.0000
76,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
77,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
78,2,0.0292,3.0000,0.1919,0.3566,1.0000,0.0000,14.0000,1.5000,2.6316,10.0000
79,3,0.0115,3.0000,0.1424,0.0000,1.0000,0.0000,12.0000,1.0000,2.6350,7.6667
80,3,0.0646,4.0000,0.1959,0.2700,1.3333,143.5705,14.0000,2.6667,2.2928,9.3333
81,1,0.0040,2.0000,0.0870,0.0000,1.0000,0.0000,13.0000,1.0000,9.0580,24.0000
82,1,0.0152,4.0000,0.1818,0.5825,1.0000,0.0000,16.0000,1.0000,3.9526,23.0000
83,5,0.0713,2.4000,0.1842,0.2987,1.0000,0.0000,10.2000,1.6000,1.2632,4.0000
84,4,0.0952,2.2500,0.2085,0.2086,1.0000,0.0000,10.0000,1.7500,1.8750,4.0000
85,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
86,2,0.0131,2.0000,0.1250,0.0000,1.0000,0.0000,10.0000,1.0000,4.0936,9.5000
87,2,0.0405,3.0000,0.1810,0.3928,1.0000,0.0000,15.0000,2.5000,2.3810,11.0000
88,3,0.0375,2.6667,0.1537,0.4097,1.0000,0.0000,15.3333,2.0000,1.3175,7.6667
89,4,0.0136,2.2500,0.1129,0.0783,1.2500,108.2576,14.0000,1.2500,1.3333,6.2500
90,2,0.1895,6.0000,0.4218,0.2340,1.0000,0.0000,9.0000,4.5000,9.3567,9.5000
91,1,0.0048,2.0000,0.0952,0.0000,1.0000,0.0000,16.0000,1.0000,3.4632,22.0000
92,2,0.0036,2.0000,0.0833,0.0000,1.0000,0.0000,16.0000,1.0000,2.5000,12.5000
93,4,0.0536,3.7500,0.1754,0.0849,1.0000,0.0000,13.2500,2.0000,2.3399,7.2500
94,5,0.0144,3.0000,0.1136,0.1021,1.2000,83.0544,18.0000,1.8000,0.9982,6.8000
95,1,0.0026,2.0000,0.0714,0.0000,3.0000,206.3271,23.0000,1.0000,1.9704,29.0000
96,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
97,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
98,3,0.0266,3.3333,0.1596,0.3078,1.0000,0.0000,15.0000,1.3333,1.8889,8.3333
99,1,0.0093,4.0000,0.1429,0.5825,1.0000,0.0000,21.0000,1.0000,2.9557,29.0000
100,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
101,3,0.0111,2.0000,0.0965,0.0000,1.0000,0.0000,14.0000,1.3333,1.8462,8.6667
102,1,0.0267,6.0000,0.2400,0.4837,1.0000,0.0000,15.0000,2.0000,6.7692,26.0000
103,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
104,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
105,1,0.0040,3.0000,0.0938,0.6116,1.0000,0.0000,22.0000,1.0000,2.6515,33.0000
106,1,0.0018,2.0000,0.0588,0.0000,1.0000,0.0000,17.0000,1.0000,10.2521,35.0000
107,4,0.0192,3.5000,0.1250,0.0398,1.0000,0.0000,20.2500,1.5000,1.1859,10.0000
108,10,0.0089,2.8000,0.0923,0.0638,1.0000,0.0000,14.0000,1.6000,0.5397,3.6000
109,4,0.0281,4.0000,0.1409,0.0943,1.2500,113.1712,18.0000,2.2500,1.3866,8.7500
110,1,0.0106,5.0000,0.1786,0.4623,1.0000,0.0000,20.0000,1.0000,5.1724,29.0000
111,7,0.0303,2.8571,0.1319,0.0881,1.1429,58.4254,13.0000,1.8571,0.9195,4.2857
