tempo,quantidadePAs,betweenness,degree,closeness,eigenvector,lifespan,mobility,fragmentationImpact,kConnectivity,density,number_of_cars
0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,4,0.0303,3.7500,0.1590,0.1201,1.0000,0.0000,16.0000,2.2500,1.8966,7.5000
5,4,0.0296,3.5000,0.1555,0.1233,1.2500,163.7412,15.0000,1.2500,1.6633,8.0000
6,4,0.0599,4.5000,0.2450,0.1497,1.0000,0.0000,12.0000,1.5000,2.9101,7.0000
7,11,0.0625,2.1818,0.1108,0.0557,1.2727,84.3584,12.0909,1.6364,0.4478,2.6364
8,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,5,0.0093,2.0000,0.0939,0.3155,1.0000,0.0000,20.0000,1.2000,0.4308,5.2000
10,5,0.0239,3.6000,0.1734,0.2145,1.2000,39.6755,11.0000,1.2000,1.5333,5.0000
11,6,0.0186,2.5000,0.1223,0.0656,1.3333,206.4206,12.0000,1.5000,1.1494,4.8333
12,1,0.0277,7.0000,0.2959,0.2378,2.0000,101.8970,15.0000,1.0000,13.3903,27.0000
13,1,0.0023,2.0000,0.0667,0.0000,1.0000,0.0000,20.0000,1.0000,6.6667,31.0000
14,2,0.0221,5.0000,0.2051,0.3479,1.0000,0.0000,18.0000,1.0000,2.8490,13.5000
15,3,0.0386,3.3333,0.1864,0.3269,1.0000,0.0000,12.0000,1.3333,2.0531,8.0000
16,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,2,0.0228,4.0000,0.1890,0.2526,1.0000,0.0000,17.0000,1.5000,3.3069,14.0000
18,5,0.0400,2.6000,0.1295,0.3628,1.0000,0.0000,15.0000,1.8000,0.9687,5.4000
19,1,0.0215,4.0000,0.1758,0.3179,1.0000,0.0000,11.0000,1.0000,8.2621,27.0000
20,3,0.0056,2.0000,0.0867,0.0000,1.3333,258.8804,12.0000,1.0000,2.9744,8.6667
21,1,0.0286,5.0000,0.2381,0.5526,1.0000,0.0000,13.0000,2.0000,7.7922,22.0000
22,3,0.0942,4.6667,0.2705,0.1822,1.0000,0.0000,9.0000,2.0000,3.8889,8.3333
23,2,0.0185,3.5000,0.1703,0.0599,1.0000,0.0000,12.0000,1.0000,6.7734,14.5000
24,1,0.0020,2.0000,0.0625,0.0000,2.0000,709.6566,16.0000,1.0000,5.8712,33.0000
25,2,0.0177,4.5000,0.1731,0.2851,1.0000,0.0000,16.0000,1.5000,2.5641,13.5000
26,2,0.0331,4.0000,0.1768,0.3888,1.0000,0.0000,17.5000,1.5000,2.3399,14.5000
27,3,0.0378,3.3333,0.1828,0.2444,1.0000,0.0000,14.0000,1.3333,1.9487,8.6667
28,2,0.0656,6.5000,0.2403,0.2461,1.0000,0.0000,15.0000,2.5000,3.7879,16.5000
29,4,0.0662,3.7500,0.1756,0.3370,1.2500,89.0396,12.0000,2.2500,1.7196,7.0000
30,5,0.0063,2.4000,0.0953,0.0000,1.2000,38.0640,14.0000,1.2000,1.0053,5.6000
31,1,0.0233,8.0000,0.3200,0.3587,1.0000,0.0000,15.0000,1.0000,10.1538,26.0000
32,7,0.1775,2.5714,0.1828,0.0426,1.1429,40.5728,9.2857,1.5714,1.2850,4.0000
33,4,0.0529,3.5000,0.1869,0.1810,1.2500,99.3188,16.2500,1.5000,1.5212,7.0000
34,2,0.0033,2.0000,0.0800,0.0000,1.5000,262.2060,18.0000,1.0000,1.5385,13.0000
35,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
36,7,0.0283,3.0000,0.1351,0.2064,1.0000,0.0000,14.1429,1.5714,0.7389,4.1429
37,3,0.0113,2.6667,0.1162,0.1583,1.3333,120.6937,18.3333,1.0000,1.1396,9.0000
38,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39,3,0.0082,2.3333,0.1009,0.0000,1.0000,0.0000,16.0000,1.3333,1.8044,9.0000
40,3,0.0231,2.3333,0.1326,0.0000,1.0000,0.0000,15.0000,1.6667,1.7128,7.6667
41,3,0.0741,5.3333,0.2530,0.3475,1.0000,0.0000,14.3333,2.0000,2.2928,9.3333
42,1,0.0031,2.0000,0.0769,0.0000,1.0000,0.0000,14.0000,1.0000,7.9772,27.0000
43,3,0.0322,4.0000,0.1516,0.1248,1.3333,229.3567,14.0000,2.3333,2.5090,10.3333
44,1,0.0049,3.0000,0.1034,0.0000,1.0000,0.0000,16.0000,1.0000,6.8966,30.0000
45,1,0.0022,2.0000,0.0645,0.0000,1.0000,0.0000,16.0000,1.0000,9.8790,32.0000
46,5,0.0097,2.8000,0.0968,0.1847,1.0000,0.0000,17.0000,1.2000,0.9470,6.6000
47,5,0.0176,3.2000,0.1393,0.1261,1.2000,124.9478,18.0000,1.2000,1.1765,6.8000
48,1,0.0952,7.0000,0.3025,0.4057,1.0000,0.0000,14.0000,5.0000,8.8670,29.0000
49,2,0.0279,4.5000,0.1716,0.0000,1.0000,0.0000,16.0000,2.0000,3.9216,17.0000
50,3,0.0032,2.3333,0.0694,0.0000,1.0000,0.0000,13.0000,1.0000,3.6036,12.3333
51,7,0.0609,3.0000,0.1388,0.0000,1.0000,0.0000,15.1429,1.8571,0.7066,4.4286
52,5,0.0069,2.8000,0.1060,0.2024,1.2000,110.0800,17.0000,1.0000,0.7882,5.8000
53,1,0.0278,4.0000,0.2314,0.2471,1.0000,0.0000,16.0000,1.0000,7.0769,26.0000
54,3,0.0353,3.6667,0.1731,0.0992,1.0000,0.0000,14.0000,2.0000,3.1418,10.0000
55,1,0.0031,2.0000,0.0769,0.0000,1.0000,0.0000,15.0000,1.0000,8.5470,27.0000
56,3,0.0215,3.6667,0.1452,0.4058,1.3333,224.7299,19.0000,2.0000,1.2903,10.3333
57,3,0.0446,4.0000,0.1682,0.2125,1.3333,362.9254,17.0000,2.3333,1.8817,10.6667
58,4,0.0330,3.0000,0.1286,0.1412,1.0000,0.0000,19.2500,1.5000,1.1345,8.7500
59,3,0.0127,3.3333,0.1277,0.0371,1.0000,0.0000,14.6667,1.0000,2.5884,11.0000
60,9,0.0342,2.7778,0.1290,0.2513,1.2222,211.0540,16.0000,1.4444,0.4540,3.4444
61,3,0.0564,4.6667,0.2104,0.1912,1.0000,0.0000,15.0000,2.0000,2.6273,9.6667
62,2,0.0529,2.5000,0.1566,0.0065,1.5000,365.8301,14.0000,1.5000,5.0493,14.5000
63,3,0.0107,3.0000,0.1287,0.0634,1.0000,0.0000,12.0000,1.0000,3.8314,10.0000
64,4,0.0456,3.2500,0.1673,0.1274,1.0000,0.0000,13.0000,1.5000,2.0320,7.2500
65,3,0.0789,2.6667,0.1823,0.0387,1.0000,0.0000,13.3333,2.0000,3.0303,11.3333
66,2,0.1339,5.0000,0.2721,0.2760,1.0000,0.0000,16.0000,1.0000,3.9683,14.0000
67,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
68,1,0.0230,5.0000,0.2241,0.2025,1.0000,0.0000,13.0000,1.0000,11.3978,31.0000
69,6,0.0655,4.6667,0.2045,0.1118,1.0000,0.0000,12.0000,2.0000,1.6414,5.5000
70,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
71,5,0.0202,3.0000,0.1301,0.1569,1.2000,135.3375,19.2000,1.6000,0.7816,6.0000
72,4,0.0150,2.2500,0.1155,0.0541,1.0000,0.0000,15.0000,1.2500,1.5873,7.0000
73,2,0.0184,3.0000,0.1542,0.2667,1.0000,0.0000,11.0000,1.5000,3.5714,10.5000
74,2,0.0088,2.5000,0.1316,0.3058,1.0000,0.0000,13.0000,1.0000,2.3684,10.0000
75,2,0.0048,2.0000,0.0952,0.0000,1.0000,0.0000,12.0000,1.0000,2.8139,11.0000
76,3,0.0317,2.6667,0.1571,0.2615,1.0000,0.0000,15.0000,1.6667,1.5810,7.6667
77,3,0.0862,3.6667,0.2183,0.0296,1.0000,0.0000,13.0000,1.6667,2.9119,10.0000
78,5,0.0552,4.2000,0.2148,0.0817,1.0000,0.0000,11.0000,1.6000,2.1505,6.2000
79,6,0.0568,5.1667,0.2112,0.1863,1.6667,253.1490,12.1667,2.0000,1.4854,5.6667
80,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
81,1,0.0062,3.0000,0.1154,0.0000,1.0000,0.0000,14.0000,1.0000,11.3960,27.0000
82,4,0.0086,4.0000,0.1360,0.0897,1.2500,133.3906,15.0000,1.2500,2.0665,8.0000
83,3,0.0072,2.6667,0.1077,0.0000,1.0000,0.0000,14.0000,1.0000,2.7540,9.0000
84,2,0.0557,4.5000,0.2362,0.0955,1.0000,0.0000,14.0000,1.0000,5.2956,14.5000
85,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
86,1,0.0291,7.0000,0.3025,0.2576,1.0000,0.0000,14.0000,1.0000,12.3153,29.0000
87,4,0.0280,3.0000,0.1392,0.1780,1.0000,0.0000,15.0000,1.7500,1.2644,7.5000
88,1,0.0265,4.0000,0.2274,0.1563,1.0000,0.0000,13.0000,1.0000,11.0837,29.0000
89,1,0.0057,4.0000,0.1212,0.0000,1.0000,0.0000,15.0000,1.0000,10.1604,34.0000
90,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
91,8,0.0532,3.6250,0.1837,0.1391,1.0000,0.0000,15.0000,1.5000,0.8690,4.2500
92,3,0.0265,3.3333,0.1500,0.1323,1.3333,98.2328,15.3333,1.6667,2.4631,9.6667
93,3,0.0437,3.0000,0.1800,0.1128,2.0000,312.9971,17.0000,1.6667,2.3810,9.3333
94,2,0.0177,4.0000,0.1566,0.2818,1.0000,0.0000,17.0000,1.5000,2.2792,13.5000
95,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
96,1,0.0300,6.0000,0.2400,0.5577,1.0000,0.0000,16.0000,3.0000,5.2308,26.0000
97,1,0.0256,4.0000,0.2315,0.1449,1.0000,0.0000,19.0000,1.0000,9.7884,28.0000
98,4,0.0786,5.5000,0.2611,0.1423,1.0000,0.0000,11.0000,2.5000,3.5714,7.0000
99,2,0.0331,3.0000,0.1892,0.1129,1.5000,140.8653,17.0000,1.5000,3.8177,14.5000
100,1,0.0033,2.0000,0.0800,0.0000,1.0000,0.0000,15.0000,1.0000,6.1538,26.0000
101,5,0.0114,2.6000,0.1099,0.1540,1.0000,0.0000,17.0000,1.2000,0.8466,5.6000
102,1,0.0031,2.0000,0.0769,0.0000,1.0000,0.0000,19.0000,1.0000,4.2735,27.0000
103,1,0.0025,2.0000,0.0690,0.0000,1.0000,0.0000,13.0000,1.0000,10.1149,30.0000
104,4,0.0223,2.7500,0.1216,0.2852,1.2500,153.2077,16.0000,1.7500,1.0684,6.7500
105,2,0.0150,3.5000,0.1339,0.1035,2.0000,344.2920,14.0000,1.0000,3.9409,14.5000
106,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
107,4,0.0055,2.2500,0.0851,0.2365,1.0000,0.0000,20.0000,1.2500,0.7471,7.5000
